1,2,4
1,10,5
2,3,4
3,6,2
3,4,4
3,8,2
4,7,4
5,6,2
8,9,4
10,11,5
4,12,4
12,13,2
13,14,5
9,15,2
11,16,2
16,17,4
9,18,2
18,19,4
19,20,2
1,13,2
12,21,2
21,22,2
22,23,4
23,24,2
24,25,2
25,26,4
26,27,2
27,28,2
28,29,2
2,34,2
34,33,2
33,32,2
32,31,2
31,30,2
23,35,2
35,36,2
36,37,2
37,38,2
38,39,2
39,40,2
40,41,2
41,42,2
42,43,2
43,44,2
44,45,2
45,46,2
46,47,2
14,49,2
49,50,2
30,48,2
31,48,2
17,51,2
51,52,2
52,53,2
53,54,2
54,55,2
55,56,2
5,32,2
20,57,2
57,58,2
58,59,2
59,60,2
60,61,2
7,23,4
7,62,2
62,63,2
63,64,2
64,65,2
65,66,2
66,67,2
67,68,2
68,69,2
69,70,2
70,71,2
71,72,2
72,73,2
73,74,2
74,75,2
75,76,2
76,77,2
70,78,2
78,79,2
79,80,2
80,81,2
81,82,2
25,65,5
13,83,2
83,84,2
84,85,2
85,86,2
86,87,2
87,88,4
15,89,4
89,90,2
90,91,2
91,92,2
92,93,2
93,94,2
94,95,2
15,96,2
96,97,2
97,98,2
98,99,2
99,100,2
